RiskID,Category,ResidualRisk,Impact,Likelihood,Score,Rating,ExistingControls,Evidence,Treatment,Owner,Target,Status
R-01,Session security,"Entra session revocation and token invalidation may not be instantaneous across every client or application.",4,2,8,Moderate,"Account disablement, Graph session revocation, 15-minute application session and immediate local application block.","P4-E29 to P4-E32; P7-E119","Validate Continuous Access Evaluation in production and retain the local deny control as defence in depth.",IAM owner,"Before production deployment",MONITOR
R-02,Shared devices,"A user may leave browser state or authenticated data on a shared care workstation.",4,3,12,High,"HttpOnly and SameSite cookies, short application session, explicit denial checks and private-browser demonstration.","P4-E29; P7-E97; P7-E119","Use managed shared-device or kiosk configuration, automatic browser-data clearing, Conditional Access and documented sign-out procedures.",Endpoint and IAM owners,"Before production deployment",OPEN_BEFORE_PRODUCTION
R-03,Licensing,"The lab tenant lacks paid licensing for Conditional Access, PIM and automated native access reviews.",5,3,15,High,"Security Defaults, application RBAC, manual access review and scripted remediation.","Phase 6 licence-state evidence; P6-E17 to P6-E30","Fund Microsoft Entra ID P1 or P2 and replace manual compensating processes where supported.",Project sponsor and IAM owner,"Before production deployment",OPEN_BEFORE_PRODUCTION
R-04,Credential management,"A client secret stored in a local ignored environment file still requires protection and rotation.",5,2,10,High,"The environment file is Git-ignored, evidence is sanitized and repository secret review reported zero confirmed secrets.","P7-E85 to P7-E91","Replace the client secret with managed identity or certificate authentication and store production credentials in a managed vault.",Application owner,"Before production deployment",OPEN_BEFORE_PRODUCTION
R-05,Audit integrity,"SQLite application audit data stored on one workstation could be modified, deleted or lost.",4,3,12,High,"Sanitized application events, correlation reports and Git-preserved evidence copies.","P6-E01 to P6-E04; P7-E119","Forward application events to centrally retained, access-controlled and tamper-evident monitoring storage.",Security operations owner,"Before production deployment",OPEN_BEFORE_PRODUCTION
R-06,Availability,"The Flask application runs on localhost without production TLS, redundancy or service monitoring.",3,4,12,High,"The system is explicitly limited to a controlled fictional-data lab.","Application topology and Phase 4 evidence","Deploy through a supported HTTPS platform with health monitoring, backups, availability targets and recovery procedures.",Application owner,"Before production deployment",ACCEPTED_FOR_LAB
R-07,Operational error,"Manual CSV preparation or an incorrect approval phrase may delay lifecycle processing.",4,2,8,Moderate,"Schema validation, read-only dry-run, exact approval phrase, tenant guard, immutable IDs and readback verification.","Phase 5 validation evidence; P7-E92 to P7-E94; P7-E121","Generate approved CSV input from the authoritative workforce system and use a formal approval workflow.",IAM operations owner,"Next project iteration",MONITOR
R-08,Authorization drift,"Security-group membership and application-role assignments may diverge if they are changed outside the automation.",4,2,8,Moderate,"Immutable group and role mappings, state export, idempotent operations and post-operation readback.","Configuration maps; Phase 5 lifecycle evidence; TC-006","Schedule reconciliation that compares workforce records, groups and application roles and alerts on drift.",IAM owner,"Next project iteration",MONITOR
R-09,Joiner credential delivery,"Manual transfer of a temporary password can expose it or cause the operator to lose it.",4,3,12,High,"The password is generated at runtime, not recorded, temporarily copied to the clipboard and changed at first sign-in.","P7-E86; P7-E109","Use Temporary Access Pass or another approved passwordless onboarding mechanism with secure identity verification.",IAM owner,"Before production deployment",OPEN_BEFORE_PRODUCTION
R-10,Monitoring,"Microsoft Entra audit and sign-in events may appear after a portal delay and the lab has limited centralized retention.",3,3,9,Moderate,"UTC correlation timeline, sanitized exports, raw-file hashes and backup screenshots.","P6-E01 to P6-E16","Configure diagnostic export to Log Analytics or a SIEM with retention, alerting and correlation identifiers.",Security operations owner,"Before production deployment",OPEN_BEFORE_PRODUCTION
R-11,Privacy and data scope,"Controls demonstrated with fictional TEST records do not alone prove compliance for real health or resident data.",5,2,10,High,"Database constraints require TEST values, no care notes are stored and privacy validation passed.","P7-E89","Complete privacy impact assessment, legal review, encryption design, retention rules and production security testing before using real data.",Privacy and security owners,"Before any real-data use",OPEN_BEFORE_PRODUCTION
R-12,Demonstration usability,"The recorded rehearsal took 18 minutes 57 seconds and exceeded the 10-minute presentation allocation.",2,4,8,Moderate,"Timed runbook, frozen release and backup evidence are available.","P7-E97; P7-E119; P7-E121","Reduce portal navigation, pre-position tabs, prepare exact commands and rehearse an eight-minute primary path with two minutes spare.",Project presenter,"Before live presentation",IMPROVEMENT_PLANNED
