RoadmapID,Priority,Horizon,Initiative,RiskIDs,ExpectedOutcome,Owner,SuccessMeasure,Status
RM-01,P0,Before live presentation,"Shorten and rehearse the demonstration path","R-12","Complete the primary demonstration within eight minutes while retaining two minutes for questions.","Project presenter","Two consecutive rehearsals complete in 480 seconds or less without exposing sensitive information.",PLANNED
RM-02,P0,Before any real-data use,"Complete privacy and production-security assessment","R-11","Confirm legal, privacy, data-classification, encryption, retention and incident-response requirements before processing real resident information.","Privacy and security owners","Approved privacy impact assessment and production security review.",PLANNED
RM-03,P0,Before production deployment,"Deploy through a production HTTPS platform","R-06","Replace localhost Flask hosting with monitored, backed-up and resilient HTTPS hosting.","Application owner","TLS enforced; health monitoring active; backup and recovery test passed.",PLANNED
RM-04,P0,Before production deployment,"Replace local client-secret storage","R-04","Use managed identity or certificate authentication with credentials held in a managed vault.","Application and IAM owners","No production client secret stored in local environment files; rotation procedure tested.",PLANNED
RM-05,P0,Before production deployment,"Centralize audit and security monitoring","R-05; R-10","Forward Entra and application events to protected centralized monitoring with retention and alerting.","Security operations owner","Required events searchable in the SIEM; retention and alert tests passed.",PLANNED
RM-06,P1,Before production deployment,"Implement licensed identity controls","R-01; R-03","Use Conditional Access, stronger session controls and licensed governance capabilities.","Project sponsor and IAM owner","Required licence approved; Conditional Access tested in report-only and enforced modes.",PLANNED
RM-07,P1,Before production deployment,"Harden shared care workstations","R-02","Reduce unattended-session and residual-browser-data risks on shared devices.","Endpoint and IAM owners","Managed shared-device profile, automatic browser-data clearing and sign-out procedure validated.",PLANNED
RM-08,P1,Before production deployment,"Replace temporary-password delivery","R-09","Use Temporary Access Pass or another approved passwordless onboarding method.","IAM owner","New worker completes secure onboarding without manually transferring a reusable temporary password.",PLANNED
RM-09,P2,Next project iteration,"Integrate an authoritative workforce source","R-07","Generate approved lifecycle events from HR data instead of manually prepared CSV files.","HR systems and IAM owners","Approved workforce event creates a validated dry-run plan without manual transcription.",PLANNED
RM-10,P2,Next project iteration,"Add scheduled identity reconciliation","R-08","Detect differences among workforce status, Entra groups and care-application roles.","IAM owner","Scheduled comparison reports unauthorized drift and produces zero unexplained differences.",PLANNED
RM-11,P2,Next project iteration,"Automate periodic access reviews","R-03; R-08","Replace the manual review process with scheduled reviewer decisions and verified remediation.","IAM governance owner","Quarterly review completes with recorded reviewer, decision, remediation and verification.",PLANNED
RM-12,P3,Later enhancement,"Test resilience and incident recovery","R-05; R-06","Validate recovery from application, database and monitoring failures.","Application and security operations owners","Recovery exercise meets approved recovery-time and recovery-point objectives.",PLANNED
