MetricID,Metric,StartUtc,EndUtc,MeasuredValue,Target,Status,Evidence,Interpretation
M-01,Joiner dry-run,2026-08-13T07:39:11.3460610Z,2026-08-13T07:39:11.3460610Z,"PASS; 0 directory writes","PASS with 0 writes",PASS,P7-E107,"The proposed CREATE operation was validated before any directory change."
M-02,Joiner application,Not recorded,2026-08-13T07:42:36.2322060Z,"CREATED; 3 directory writes","One identity with one intended group and app role",PASS,P7-E109,"The fictional SC1013 identity was created with CareWorker access."
M-03,Dry-run generation to identity creation,2026-08-13T07:39:11.3460610Z,2026-08-13T07:42:36.2322060Z,204.89 seconds,"Record actual provisioning interval",MEASURED,P7-E107; P7-E109,"Includes operator review and approval time between planning and execution."
M-04,Identity creation to first successful access,2026-08-13T07:42:36.2322060Z,2026-08-13T07:48:16.000606Z,339.77 seconds,"Record actual onboarding time",MEASURED,P7-E109; local application audit,"Includes first-password change and MFA registration before successful resident access."
M-05,Leaver workflow execution,2026-08-13T07:53:53.2652850Z,2026-08-13T07:54:00.8365270Z,7.57 seconds,"Complete all approved Leaver controls successfully",PASS,P7-E119,"Account disablement, session revocation, access removal and local blocking completed."
M-06,Leaver start to observed application denial,2026-08-13T07:53:53.2652850Z,2026-08-13T07:54:10.023375Z,16.76 seconds,"Prompt denial after protected-route refresh",PASS,P7-E119; local application audit,"The existing browser request was denied by the local application block."
M-07,Complete rehearsal duration,Not recorded,2026-08-13T07:57:52Z,"1137 seconds (18 minutes 57 seconds)","480 seconds or less to leave 2 minutes spare in a 10-minute slot",NEEDS IMPROVEMENT,P7-E119,"The controls worked but the presentation flow requires substantial shortening."
M-08,Directory automation failures,Not applicable,Not applicable,0,0,PASS,P7-E107; P7-E109; P7-E119,"All approved automation operations completed successfully."
M-09,Guarded operator-input errors,Not applicable,Not applicable,1,0,NEEDS IMPROVEMENT,P7-E108; rehearsal transcript,"An incorrect Joiner approval phrase was safely rejected before any write."
M-10,Major manual interaction stages,Not applicable,Not applicable,7,"Minimise presentation interaction",MEASURED,P7-E97,"Joiner approval, credential transfer, password change, MFA, route demonstration, Leaver approval and denial verification."
M-11,User authentication friction,Not applicable,Not applicable,"Forced password change and MFA registration","Complete necessary controls without exposing credentials",OBSERVED,P7-E97; rehearsal observation,"Security controls add initial user effort but reduce account-takeover risk."
M-12,Sensitive information exposure,Not applicable,Not applicable,0,0,PASS,P7-E119,"No password, secret, token or MFA setup secret was recorded."
